exposure_id,borrower_id,facility_type,product_type,segment,drawn_balance,current_limit,undrawn_limit,collateral_value,industry,default_flag,default_date,development_stage,utilisation,ead_method
EXP001,B001,term_loan,Amortising business term loan,SME,125000,125000,0,90000,Manufacturing,0,,,1.0,balance_only
EXP002,B002,revolver,Overdraft,SME,42000,100000,58000,15000,Retail,0,,,0.42,balance_plus_ccf
EXP003,B003,revolver,Revolving working capital line,Corporate,680000,900000,220000,125000,Wholesale,0,,,0.7555555555555555,balance_plus_ccf
EXP004,B004,development,Construction facility,Property,2500000,4000000,1500000,3200000,Real Estate,0,,early,0.625,balance_plus_ccf
EXP005,B005,trade,Trade finance line,SME,180000,300000,120000,90000,Import Export,1,2025-11-15,,0.6,balance_plus_ccf
EXP006,B006,development,Development facility,Property,1750000,2200000,450000,2100000,Property Development,0,,late,0.7954545454545454,balance_plus_ccf
EXP007,B007,term_loan,Equipment term loan,Corporate,540000,540000,0,650000,Transport,0,,,1.0,balance_only
EXP008,B008,revolver,Cash flow revolver,SME,12000,50000,38000,10000,Hospitality,0,,,0.24,balance_plus_ccf
EXP009,B009,trade,Trade working capital line,Corporate,450000,600000,150000,250000,Import Export,0,,,0.75,balance_plus_ccf
EXP010,B010,revolver,Overdraft,SME,135000,150000,15000,50000,Services,1,2025-10-02,,0.9,balance_plus_ccf
EXP011,B011,term_loan,Amortising agribusiness loan,SME,80000,80000,0,120000,Agriculture,0,,,1.0,balance_only
EXP012,B012,development,Land subdivision facility,Property,950000,1600000,650000,1200000,Property Development,0,,,0.59375,balance_plus_ccf
